attr_name	Tumor_breast_1	Tumor_breast_8	Tumor_breast_2	Tumor_breast_9	Tumor_breast_3	Tumor_breast_10	Tumor_breast_4	Tumor_breast_11	Tumor_breast_5	Tumor_breast_12	Tumor_breast_6	Tumor_breast_13	Tumor_breast_7	Tumor_breast_14	Tumor_breast_15
TNMD	1.58496250072116	2.32192809488736	6.76818432477693	4.24792751344359	2	0	2.58496250072116	4.08746284125034	1.58496250072116	1.58496250072116	2.32192809488736	0	3	6.4594316186373	3.16992500144231
HSPB6	5.90689059560852	6.52356195605701	7.64385618977472	4.39231742277876	4.39231742277876	2.32192809488736	5	7.01122725542325	4.08746284125034	4.08746284125034	5	1.58496250072116	5.8073549220576	8.87958324961278	4.90689059560852
PDK4	9.13442632022093	10.4304525516655	11.5488219084588	11.2720465243899	8.2045711442492	6.37503943134692	7.06608919045777	9.3264294871223	7.51569983828404	10.1623913287569	11.7862696276485	7.91288933622996	10.9549232920303	13.560691074923	11.3635872465246
ABCB5	4.24792751344359	2.8073549220576	3.58496250072116	2.58496250072116	2.8073549220576	0	0	4.8073549220576	1	3.70043971814109	4.8073549220576	1.58496250072116	3.32192809488736	6.79441586635011	3
SLC4A1	1.58496250072116	0	2	0	1	0	1.58496250072116	1	2	3.32192809488736	1	1.58496250072116	1	0	1
MEOX1	6.2667865406949	8.467605550083	7.61470984411521	6.10852445677817	6.18982455888002	4.08746284125034	6.8073549220576	7.33091687811462	3.32192809488736	5.78135971352466	5.85798099512757	6.56985560833095	5.90689059560852	9.33315535031062	6.44294349584873
TAC1	1.58496250072116	3.8073549220576	5.04439411935845	3.58496250072116	1.58496250072116	1	1	3.70043971814109	0	0	5.28540221886225	0	4	3.8073549220576	3.32192809488736
CEACAM7	8.43462822763673	4.90689059560852	6.10852445677817	5.4594316186373	9.85642552862553	5.7279204545632	0	6.37503943134692	0	3	4.58496250072116	6.71424551766612	4.08746284125034	6.35755200461808	1.58496250072116
SCN4A	13.2494097852691	4.24792751344359	7.09803208296053	6.37503943134692	5.04439411935845	2	4.8073549220576	5	3.32192809488736	6.98868468677217	6.68650052718322	2.58496250072116	6.20945336562895	8.06069593168755	5.88264304936184
PAX6	2.58496250072116	2.58496250072116	4.24792751344359	3.90689059560852	0	4	6.2667865406949	6.28540221886225	5	1.58496250072116	2.8073549220576	8.78463484555752	5.8073549220576	4.70043971814109	2
E2F2	8.90388184573618	8.06069593168755	8.37503943134693	8.37937836707126	9.33985000288462	11.2419831496943	11.2473341780287	9.04165915163721	9.62753388447279	6.82017896241519	9.26209484537018	9.74651432113846	7.13955135239879	8.2667865406949	9.60177078840771
CELSR3	11.4093909361377	10.4356702609366	10.6812384117778	9.01680828768655	8.15987133677839	10.3275526440812	10.0539258815311	10.4563544151083	8.64745842645492	8.14974711950468	7.19967234483636	11.0532471259124	9.4262647547021	10.3442959079158	10.8872206154684
TENM1	2.32192809488736	5.58496250072116	3.8073549220576	2.8073549220576	1	1.58496250072116	3.70043971814109	3.16992500144231	6.49185309632967	4.24792751344359	4.52356195605701	4.64385618977472	4.08746284125034	6.24792751344359	3.58496250072116
PAX7	5.04439411935845	0	2.58496250072116	2.32192809488736	1.58496250072116	0	0	2.32192809488736	0	1	1.58496250072116	8.59245703726808	1	3	2.8073549220576
IYD	10.3442959079158	6.12928301694497	10.3219280948874	2	9.29001884693262	3.16992500144231	1	6.16992500144231	4.70043971814109	5.93073733756289	2.8073549220576	6.3037807481771	5.04439411935845	8.4797802640291	3.4594316186373
MLXIPL	7.19967234483636	6.71424551766612	6.58496250072116	3.58496250072116	5.16992500144231	2.32192809488736	5.08746284125034	2	4.58496250072116	5.61470984411521	5.90689059560852	4.16992500144231	9.15987133677839	8.09275714091985	6.4594316186373
HHATL	1	5.78135971352466	1.58496250072116	0	0	2.58496250072116	1.58496250072116	0	1	3	1.58496250072116	2	1	1	0
SEMA3G	9.06339508128851	9.43045255166553	11.2497060569697	8.90689059560852	8.22881869049588	6.56985560833095	8.04984854945056	9.33985000288462	7.54689445988764	10.0402897210257	10.0552824355012	8.61470984411521	9.73809225962049	10.9715435539508	10.7607199474656
ANLN	11.5910547740368	10.6926155016946	10.6302671250268	9.91737207947684	11.6147098441152	12.527965641134	11.9277779620823	11.8951965725633	11.3542493819452	10.6688849842662	11.2743781532464	11.1904420187828	10.6036263449862	10.6768386064742	11.3761253892762
GABRA3	4.75488750216347	0	3	0	3.70043971814109	7.35755200461808	0	6.94251450533924	10.0539258815311	3.90689059560852	1.58496250072116	0	2.32192809488736	2.58496250072116	1
SLC7A14	0	0	0	0	1.58496250072116	0	0	1	4.24792751344359	0	2	0	2	1	0
CLDN11	7.09803208296053	8.34429590791582	7.91288933622996	8.14465824283188	7.02236781302845	4.52356195605701	4.90689059560852	8.5352753766208	7.59991284218713	8.93073733756289	8.98868468677217	6.39231742277876	7.16992500144231	7.34872815423108	7.31288295528436
GPRC5A	12.2073194264578	14.4369717450491	15.6905436819986	16.9375117561375	12.794009645021	14.3880845736566	8.467605550083	15.7507069862249	12.3766680618577	15.5647746970461	15.9017861199237	14.2105191527373	14.6950651306895	15.1139456003517	14.4643542972063
CLCA4	2.32192809488736	2.32192809488736	2	0	1	6.10852445677817	2.32192809488736	0	4.52356195605701	1.58496250072116	4.32192809488736	3.58496250072116	2.58496250072116	1.58496250072116	2.32192809488736
